S.No,Post,Caste,Count
1,all,सरदार्नी,1
2,all,शेष,14
3,all,भित्रीकोटी,1
4,all,किसान,5
5,all,पेमी,1
6,all,महतरा,3
7,all,(गुरुङ्ग),1
8,all,विष्ठ,1
9,all,बिस्ट,1
10,all,वेलाल,1
11,all,केवटिन,2
12,all,लमिनी,3
13,all,पाध्याय,4
14,all,शेरपुन्जा,1
15,all,शेरमन्जा,1
16,all,साहु,14
17,all,भर,8
18,all,हक,8
19,all,रहमन,1
20,all,आचार्य,155
21,all,लोहाकार,1
22,all,वि‍‌.क.,1
23,all,पाईजा,1
24,all,वराइली,5
25,all,विश्वर्कमा,1
26,all,भन्‍डारी,1
27,all,रस्तोगी,2
28,all,[चापागाइँ],1
29,all,विश्वकर्का,1
30,all,त्वाती,1
31,all,दुदराज,1
32,all,रपाल,1
33,all,गुरुड्,1
34,all,त्रिखत्री,2
35,all,शुब्बा,1
36,all,टण्‍डन,1
37,all,विसंखे,1
38,all,मेहता,22
39,all,सार्की/मिजार,1
40,all,गुरङ,1
41,all,सर्केनी,3
42,all,बाँठा,2
43,all,देवान,20
44,all,खाति,2
45,all,रन्जित,1
46,all,वंशी,2
47,all,आरख,1
48,all,चन्द(ठकुरानी),1
49,all,चौलागाई,32
50,all,ग्याम्जन,1
51,all,ब्यञ्जनकार,1
52,all,व्लोन,1
53,all,श्रीपाइली,1
54,all,दगामी,1
55,all,मुसहरिन,1
56,all,वली,105
57,all,मुक्तान,32
58,all,नेपाल,47
59,all,बास्‍तकोटी,1
60,all,(ऐर),1
61,all,जमसैद,1
62,all,बस्‍नेत,21
63,all,लकाइ,1
64,all,वाँस्तोला,1
65,all,लुइटेल,6
66,all,शाहिला,1
67,all,प्रसाई,10
68,all,विष्ट,118
69,all,सिङ्गतान,1
70,all,पुनेल,2
71,all,सतशंखर,1
72,all,(शर्मा),3
73,all,वगाले,4
74,all,पुर्जा,7
75,all,(सोडारी),1
76,all,पहराइ,1
77,all,महते,1
78,all,सार्कि,19
79,all,गन्‍धर्व,1
80,all,वली(डी.सी.),1
81,all,शासंकर,1
82,all,जि.सी,9
83,all,चम्लागाई,7
84,all,ताजपुरीया,4
85,all,रोकाहा/क्षेत्री,1
86,all,हफिज,1
87,all,द्यौबन्जार,1
88,all,खड्लुक,2
89,all,(दर्जि),1
90,all,वनिया,6
91,all,हलुवाइ,4
92,all,चैसिर,1
93,all,फौजदार,1
94,all,ढुङ्गेल,4
95,all,वरुवाल,2
96,all,(सुनार),2
97,all,पालुङवा,7
98,all,थनदार,1
99,all,कुर्मि,12
